weather_year,techs,locs,carriers,unit,nameplate_capacity
2010,battery,ALB_1,electricity,tw,9.39173567863831e-05
2010,battery,AUT_1,electricity,tw,4.880932159376744e-05
2010,battery,AUT_2,electricity,tw,7.476116863864732e-05
2010,battery,AUT_3,electricity,tw,0.0001012536789482
2010,battery,BEL_1,electricity,tw,4.3685760110033e-05
2010,battery,BGR_1,electricity,tw,4.658951375051905e-05
2010,battery,BIH_1,electricity,tw,5.869575290991146e-05
2010,battery,CHE_1,electricity,tw,6.623664913102989e-05
2010,battery,CHE_2,electricity,tw,6.49223556995789e-05
2010,battery,CYP_1,electricity,tw,0.0001400963150662
2010,battery,CZE_1,electricity,tw,5.402470534360275e-05
2010,battery,CZE_2,electricity,tw,5.701121529645976e-05
2010,battery,DEU_1,electricity,tw,4.33435101966236e-05
2010,battery,DEU_2,electricity,tw,4.215771528458315e-05
2010,battery,DEU_3,electricity,tw,4.710940549623679e-05
2010,battery,DEU_4,electricity,tw,4.799358468177591e-05
2010,battery,DEU_5,electricity,tw,4.675194498934541e-05
2010,battery,DEU_6,electricity,tw,4.74618628406339e-05
2010,battery,DEU_7,electricity,tw,5.357690380584834e-05
2010,battery,DNK_1,electricity,tw,1.8564105584436566e-05
2010,battery,DNK_2,electricity,tw,2.1300656725179652e-05
2010,battery,ESP_1,electricity,tw,1.773395311263178e-05
2010,battery,ESP_10,electricity,tw,1.8537363749475957e-05
2010,battery,ESP_11,electricity,tw,1.8257364976293377e-05
2010,battery,ESP_2,electricity,tw,1.757639590474856e-05
2010,battery,ESP_3,electricity,tw,1.7756306556051557e-05
2010,battery,ESP_4,electricity,tw,1.765661782911182e-05
2010,battery,ESP_5,electricity,tw,1.8206462119470015e-05
2010,battery,ESP_6,electricity,tw,2.256686259718972e-05
2010,battery,ESP_7,electricity,tw,1.846167387239464e-05
2010,battery,ESP_8,electricity,tw,1.8268127287500054e-05
2010,battery,ESP_9,electricity,tw,1.9823577639943497e-05
2010,battery,EST_1,electricity,tw,3.346160514130303e-05
2010,battery,FIN_1,electricity,tw,1.6639291578045455e-05
2010,battery,FIN_2,electricity,tw,1.70698567267708e-05
2010,battery,FRA_1,electricity,tw,3.653435363821128e-05
2010,battery,FRA_10,electricity,tw,3.636220694631037e-05
2010,battery,FRA_11,electricity,tw,4.2503290586310205e-05
2010,battery,FRA_12,electricity,tw,4.300371939009477e-05
2010,battery,FRA_13,electricity,tw,3.657855752849321e-05
2010,battery,FRA_14,electricity,tw,3.344889036943097e-05
2010,battery,FRA_15,electricity,tw,0.0001713664104499
2010,battery,FRA_2,electricity,tw,4.553067687986893e-05
2010,battery,FRA_3,electricity,tw,0.0001064862184799
2010,battery,FRA_4,electricity,tw,2.8968827267167405e-05
2010,battery,FRA_5,electricity,tw,3.352479095228624e-05
2010,battery,FRA_6,electricity,tw,6.015320029676597e-05
2010,battery,FRA_7,electricity,tw,5.423944946240866e-05
2010,battery,FRA_8,electricity,tw,2.831821486388343e-05
2010,battery,FRA_9,electricity,tw,3.1678102207633535e-05
2010,battery,GBR_1,electricity,tw,1.7924686250696738e-05
2010,battery,GBR_2,electricity,tw,1.865969059685321e-05
2010,battery,GBR_3,electricity,tw,1.7911022010120982e-05
2010,battery,GBR_4,electricity,tw,1.690856268765932e-05
2010,battery,GBR_5,electricity,tw,1.7137584075102576e-05
2010,battery,GBR_6,electricity,tw,1.7311752229221255e-05
2010,battery,GRC_1,electricity,tw,7.246408769208843e-05
2010,battery,GRC_2,electricity,tw,0.0001090770769319
2010,battery,HRV_1,electricity,tw,8.47573319927484e-05
2010,battery,HUN_1,electricity,tw,8.287671341365316e-05
2010,battery,IRL_1,electricity,tw,1.721723343426684e-05
2010,battery,ISL_1,electricity,tw,1.727445428692742e-05
2010,battery,ITA_1,electricity,tw,0.0017194067367652
2010,battery,ITA_2,electricity,tw,0.0144054316515422
2010,battery,ITA_3,electricity,tw,0.0001436798396078
2010,battery,ITA_4,electricity,tw,0.0049954107202832
2010,battery,ITA_5,electricity,tw,0.0021764254699528
2010,battery,ITA_6,electricity,tw,5.972347200628078e-05
2010,battery,LTU_1,electricity,tw,2.88003673966531e-05
2010,battery,LUX_1,electricity,tw,4.234883890190909e-05
2010,battery,LVA_1,electricity,tw,2.9576249006683853e-05
2010,battery,MKD_1,electricity,tw,7.811839248058452e-05
