locs,spores,techs,energy_cap,cases,to_locs,names,colors,inheritance,locs_coordinates_lat,locs_coordinates_lon,to_locs_coordinates_lat,to_locs_coordinates_lon,carrier_in,carrier_out,case_spore,spores_numeric
BE,0,import_elc_interconnector,3.4,spores_eur_2050,,Import - Electricity interconnection,#ffc107,crossborder_import.supply,51.31726620661365,4.378136579035989,,,electricity,electricity,spores_eur_2050_0,0
BE,0,transmission_hvac:NL_2,3.4000000000000004,spores_eur_2050,NL_2,Transmission - Electricity HVAC,#795548,power_transmission.transmission,51.31726620661365,4.378136579035989,51.38011179173071,5.075031073065831,electricity,electricity,spores_eur_2050_0,0
DE,0,import_elc_interconnector,6.0,spores_eur_2050,,Import - Electricity interconnection,#ffc107,crossborder_import.supply,52.02040854483887,7.279926060167003,,,electricity,electricity,spores_eur_2050_0,0
DE,0,transmission_hvac:NL_1,3.75,spores_eur_2050,NL_1,Transmission - Electricity HVAC,#795548,power_transmission.transmission,52.02040854483887,7.279926060167003,51.96367578600893,6.807852774557378,electricity,electricity,spores_eur_2050_0,0
DK,0,import_elc_interconnector,0.7,spores_eur_2050,,Import - Electricity interconnection,#ffc107,crossborder_import.supply,55.4325571130993,8.401542890776913,,,electricity,electricity,spores_eur_2050_0,0
DK,0,transmission_hvdc:NL_4,0.7000000000000001,spores_eur_2050,NL_4,Transmission - Electricity HVDC,#9c27b0,power_transmission.transmission,55.4325571130993,8.401542890776913,53.45675484627952,6.7449528847875175,electricity,electricity,spores_eur_2050_0,0
NL,0,bss_liion,3.879069189322716,spores_eur_2050,,Battery storage - Lithium,#19122b,battery_systems.storage,52.0883139998647,5.3291269064473,,,electricity,electricity,spores_eur_2050_0,0
NL,0,bss_nas,3.511334937898759,spores_eur_2050,,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,,,electricity,electricity,spores_eur_2050_0,0
NL,0,bss_vanadium,0.0,spores_eur_2050,,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,,,electricity,electricity,spores_eur_2050_0,0
NL,0,co2_atmosphere,1972.0,spores_eur_2050,,CO2 - Atmospheric emissions,#ffc107,curtailment.demand,52.0883139998647,5.3291269064473,,,co2_emitted,co2_emitted,spores_eur_2050_0,0
NL,0,co2_storage,1.0,spores_eur_2050,,CO2 - Capture and storage,#ffc107,curtailment.demand,52.0883139998647,5.3291269064473,,,co2_pure,co2_pure,spores_eur_2050_0,0
NL,0,demand_elc,42.0,spores_eur_2050,,Firm demand - Electricity,#ffc107,demand,52.0883139998647,5.3291269064473,,,electricity,electricity,spores_eur_2050_0,0
NL,0,demand_gas,31.0,spores_eur_2050,,Firm demand - Gas,#607d8b,demand,52.0883139998647,5.3291269064473,,,gas,gas,spores_eur_2050_0,0
NL,0,demand_hyd,43.0,spores_eur_2050,,Firm demand - Hydrogen,#3f51b5 ,demand,52.0883139998647,5.3291269064473,,,hydrogen,hydrogen,spores_eur_2050_0,0
NL,0,electrolyser_alk,0.0,spores_eur_2050,,Electrolyser - Alkaline,#3c7632,electrolyser_plants.conversion,52.0883139998647,5.3291269064473,,,electricity,hydrogen,spores_eur_2050_0,0
NL,0,electrolyser_pem,0.0,spores_eur_2050,,Electrolyser - PEM,#7e7a36,electrolyser_plants.conversion,52.0883139998647,5.3291269064473,,,electricity,hydrogen,spores_eur_2050_0,0
NL,0,electrolyser_soe,0.0,spores_eur_2050,,Electrolyser - SOE,#bc7967,electrolyser_plants.conversion,52.0883139998647,5.3291269064473,,,electricity,hydrogen,spores_eur_2050_0,0
